Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 103101,178.042828708333,-56.9877424722222,5.563,A2V,0.058,0.01,,A2,
HD 103287,178.457697166667,53.6947597222222,2.44,A0Ve+K2V,0.01,0.02,,A0,oui
HD 10332,25.65333333333333,60.548049999999996,6.97,K2II,1.31,,,,oui
HD 103578,178.918889416667,15.6468175555556,5.531,A3V,0.109,0.03,,A3,
HD 103578,178.9945,15.6468055555556,5.531,A3V,,0.03,s0424,A3,
HD 10362,25.742916666666662,61.421080555555555,6.32,B7III,0.0,,,,oui
HD 103632,179.003971791667,-17.15082725,5.168,A0V,-0.022,-0.01,,A0,
HD 1038,3.6599999999999997,-18.932861111111112,4.46,M1III,1.66,,,,oui
HD 103877,179.495666666667,17.4678055555556,6.78,Am,,0.1,s0425,Am,
HD 103884,179.416700791667,-62.4487463055556,5.552,B3V,-0.148,0.05,,B3,
HD 103932,179.48416666666662,-27.70706111111111,6.96,K4+V,1.15,,,,oui
HD 104055,179.76374999999996,0.5306694444444445,6.18,K2/3III,1.26,,,,oui
HD 104067,179.79166666666663,-20.353780555555556,7.92,K2V,0.98,,,,oui
HD 104174,179.906568083333,-78.2218383055556,4.898,B9Vn,-0.048,0.02,,B9,
HD 104179,179.98916666666665,34.034749999999995,6.49,A9III,0.22,,,,oui
HD 104181,179.987137208333,3.65519836111111,5.357,A0V,0.006,0.02,,A0,
HD 104304,180.18541666666664,-10.446,5.55,G8IV,0.77,,,,oui
HD 104318,180.2120833333333,32.96388888888889,7.45,F4,0.42,,,,oui
HD 104321,180.218293416667,6.61432141666667,4.64,A5V,0.11,-0.03,,A5,oui
HD 104452,180.4345833333333,22.0943,6.58,G0IIb:Fe-1,0.64,,,,oui
HD 104600,180.657053583333,-69.1922869444444,5.878,B9V,-0.068,0.0,,B9,
HD 104755,180.935,5.5577499999999995,6.39,F5,90.0,,,,oui
HD 10476,25.624166666666664,20.2685,5.24,K1V,0.84,,,,oui
HD 104835,181.07124999999996,-21.039169444444447,7.83,A2II,0.32,,,,oui
HD 10486,25.818749999999998,45.32263888888889,6.32,K2IV,1.04,,,,oui
HD 10497,25.911666666666665,52.885780555555556,6.74,A9IIIa,0.43,,,,oui
HD 104985,181.31291666666664,76.90571944444444,5.8,G8.5IIIb,90.0,,,,oui
HD 10516 ,25.915158,50.6887313333333,4.09,B2Vpe,-0.09,0.15,,B2,
HD 10538 ,25.5124740416667,-36.8323054166667,5.706,A1V,-0.003,-0.02,,A1,
HD 105416,182.061299916667,-48.69248575,5.334,B9V,-0.015,0.06,,B9,
HD 105424,182.06416666666664,30.27536111111111,7.56,K5III,1.54,,,,oui
HD 105452,182.10333333333332,-24.728861111111108,4.0,F1V,0.34,,,,oui
HD 105707,182.53124999999997,-22.619780555555558,2.98,K2+IIIa,1.34,,,,oui
HD 105805,182.692068125,27.2815069722222,5.999,A4Vn,0.117,0.0,,A4,
HD 105850,182.765996,-23.6024222777778,5.47,A1V,0.05,0.03,,A1,
HD 105913,182.84541666666667,-16.79083055555556,7.1,G6V+G7V,90.0,,,,oui
HD 105937,182.912990416667,-52.3684564444445,3.951,B3V,-0.142,0.06,,B3,
HD 1061,3.7449999999999997,8.820969444444444,6.01,F0,0.31,,,,oui
HD 106152,183.21624999999997,31.79613888888889,7.8,F7,0.47,,,,oui
HD 1061B,3.747083333333333,8.818280555555555,7.54,A7,0.38,,,,oui
HD 106384,183.5645833333333,-5.716611111111111,6.56,A8/9V,0.25,,,,oui
HD 1064  ,3.72714758333333,-9.56956952777778,5.757,B9V,-0.067,0.0,,B9,
HD 106556,183.81499999999997,47.115500000000004,7.3,K0III,0.98,,,,oui
HD 106591,183.856502625,57.0326154444444,3.32,A2Vn,0.09,0.01,,A3,oui
HD 106625,183.95166666666663,-17.541919444444446,2.58,B8III,-0.11,,,,oui
HD 106661,184.000773708333,14.8990693333333,5.09,A3V,0.06,-0.02,,A3,
HD 106884,184.3733333333333,53.19133055555555,5.81,K6III,1.3,,,,oui
HD 106911,184.586769125,-79.3122419444444,4.235,B5Vn,-0.115,0.05,,B5,
HD 10697,26.232499999999998,20.08313888888889,6.28,G3Va,0.71,,,,oui
HD 106976,184.54,-3.948780555555556,5.99,F1VkF2mF3,0.35,,,,oui
HD 106983,184.6093655,-64.0030702222222,4.05,"B2,5V",-0.15,0.09,,"B2,5",
HD 10700,26.01708333333333,-15.937469444444444,3.5,G8V,0.72,,,,oui
HD 107054,184.63166666666666,30.24906111111111,6.23,A9.5III,0.29,,,,oui
HD 107070,184.66799075,-0.787184777777778,5.908,A5Vn,0.155,0.0,,A5,
HD 107193,184.708268666667,75.1605613055556,5.465,A1V,0.051,0.03,,A1,
HD 107259,184.97666666666663,-0.666811111111111,3.9,A2IV,0.02,,,,oui
HD 107348,185.140175,-22.2159002777778,5.22,B8V,-0.11,0.0,,B8,
HD 107398,185.17249999999999,27.054561111111113,7.0,F2,90.0,,,,oui
HD 107566,185.530583416667,-67.5221075277778,5.161,A5V,0.173,0.02,,A5,
HD 107569,185.43791666666664,21.87275,7.42,F8III,0.51,,,,oui
HD 107696,185.705966333333,-57.67613125,5.37,B9V,-0.092,-0.02,,B9,
HD 107700,185.62625,25.846169444444442,4.81,F6III+A3V,0.49,,,,oui
HD 10780,26.936666666666664,63.8525,5.63,K0V,0.81,,,,oui
HD 107814,185.82874999999999,-11.812111111111111,6.49,M2III,1.6,,,,oui
HD 107860,185.936434916667,-38.9113824166667,5.785,B9V,-0.064,0.01,,B9,
HD 107950,186.00624999999997,51.56225,4.76,G7IIIBa0.3,0.88,,,,oui
HD 107966,186.077171875,26.0986207222222,5.18,A3V,0.08,0.0,,A3,
HD 108,1.5141666666666664,63.67966944444444,7.4,O4-8f?p,0.18,,,,oui
HD 108107,186.299020208333,-11.610589,5.949,A1V,0.04,0.02,,A1,
HD 108225,186.4620833333333,39.01861111111111,5.01,G9III,0.94,,,,oui
HD 108249,186.650629166667,-63.09920555555556,2.09,B1V,0.21,0.47,,B1,
HD 108257,186.632331458333,-51.4506360833333,4.805,B3Vn,-0.14,0.06,,B3,
HD 108323,186.715375,-32.8301216388889,5.565,B9V,0.006,0.08,,B9,
HD 108382,186.747071208333,26.8257000277778,4.96,A4V,0.09,-0.02,,A4,oui
HD 10845,26.64708333333333,17.412688888888887,6.55,A9III,0.25,,,,oui
HD 108477,186.95583333333332,-16.631830555555556,6.29,G4III,0.87,,,,oui
HD 108483,187.009925333333,-50.2306353333333,3.897,B2V,-0.178,0.06,,B2,
HD 108541,187.09360375,-39.0411713333333,5.448,B8V,-0.066,0.04,,B8,
HD 108652,187.18874999999997,19.951830555555556,7.67,F4,0.44,,,,oui
HD 108722,187.36249999999998,24.108919444444446,5.47,F5IV,0.43,,,,oui
HD 108765,187.430165583333,20.8961083888889,5.68,A3V,0.087,0.01,,A3,
HD 108767,187.46624999999997,-16.515438888888887,2.94,A0IV(n)kB9,-0.05,,,,oui
HD 108807,187.48124999999996,24.338530555555554,7.88,F5V,0.41,,,,oui
HD 108846,187.5520833333333,39.247080555555556,7.7,F6,90.0,,,,oui
HD 108907,187.52791666666664,69.20111111111112,4.95,M3+IIIa,1.62,,,,oui
HD 109005,187.90208333333334,-11.07225,7.9,A2/4V,0.23,,,,oui
HD 109026,188.116722625,-72.1329888055556,3.83,B5V,-0.136,0.02,,B5,
HD 109029,187.8783333333333,33.015030555555555,7.4,F4,0.43,,,,oui
HD 109031,187.89041666666665,21.576830555555556,7.89,F3,0.4,,,,oui
HD 109085,188.01749999999998,-16.196,4.29,F2V,0.36,,,,oui
HD 109159,188.17166666666665,-17.220688888888887,7.97,G6IV,0.86,,,,oui
HD 109309,188.444782875,-9.45207708333333,5.48,A0V,-0.03,-0.02,,A0,
HD 109358,188.43541666666667,41.35746944444445,4.25,G0V,0.61,,,,oui
HD 109379,188.59666666666664,-23.39675,2.64,G5IIBa0.3,0.88,,,,oui
HD 10939 ,26.52609775,-53.5220355277778,5.039,A1V,0.029,0.01,,A1,
HD 109485,188.71291666666664,22.62925,4.77,A0IV,0.0,,,,oui
HD 109496,188.67708333333331,47.00738888888889,7.61,K3IV:,1.6,,,,oui
HD 109536,188.93971575,-41.0219456944444,5.127,A7V,0.21,0.01,,A7,
HD 109704,189.197309208333,-5.83190033333333,5.88,A3V,0.06,-0.02,,A3,
HD 109741,189.20291666666665,20.237780555555556,7.55,F6,0.48,,,,oui
HD 109787,189.425682375,-48.54130275,3.852,A2V,0.055,0.01,,A2,
HD 109799,189.42624999999998,-27.13888888888889,5.41,F2IV,0.33,,,,oui
HD 10982 ,27.0455667916667,16.9555491111111,5.854,"B9,5V",-0.037,0.03,,"B9,5",
HD 109839,189.41291666666666,38.68436111111111,7.34,F7,0.49,,,,oui
HD 10995,27.086666666666666,17.02275,7.29,G2IV,0.7,,,,oui
HD 110014,189.81166666666667,-7.995561111111111,4.64,K2+IIICN0.5,1.24,,,,oui
HD 11013,27.211249999999996,34.14263888888889,7.59,M6,1.52,,,,oui
HD 110196,190.07124999999996,21.51986111111111,7.98,F7,0.54,,,,oui
