Name,RA,Dec,Vmag,SpType,B-V,Ebv,Miles,Sp_s,Melchiors
HD 207673,327.493833333333,41.1488055555556,6.492,A2 Ib,,0.0,s0819,A2,
HD 207793,327.51041666666663,52.6973,6.57,B0.5III,0.33,,,,oui
HD 20782,50.01499999999999,-28.85408055555556,7.38,G1.5V,0.65,,,,oui
HD 20791,50.27833333333333,3.675611111111111,5.69,G9IIIBa0.2,0.97,,,,oui
HD 208057,328.265701083333,25.9251361666667,5.078,B3Ve,-0.153,0.05,,B3,
HD 20809 ,50.8049817083333,49.2132673611111,5.3,B5V,-0.07,0.09,,B5,
HD 208108,328.405757375,19.6684386388889,5.68,A0Vs,0.019,0.03,,A0,
HD 208218,328.14624999999995,62.71216944444445,6.71,B1III,0.19,,,,oui
HD 20825,50.549583333333324,27.607561111111114,5.52,G5III,1.1,,,,oui
HD 208321,329.0948735,-37.2536555833333,5.457,A2Vn,0.079,0.03,,A2,
HD 208527,329.09999999999997,21.23986111111111,6.37,K5V,1.69,,,,oui
HD 208565,329.234887208333,12.0764913611111,5.544,A2Vnn,0.045,0.0,,A2,
HD 208682,328.879165666667,65.3208095,5.939,"B2,5Ve",-0.097,0.14,,"B2,5",
HD 208801,329.7290833333333,-4.37311111111111,6.22,G8/K0III,1.0,,,,oui
HD 209008,330.0329166666666,6.717438888888889,6.0,B3III,-0.12,,,,oui
HD 209014,330.209272375,-28.4537399722222,5.62,B8Ve,-0.09,0.02,,B8,
HD 20902,51.08083333333333,49.86116944444444,1.79,F5Ib,0.48,,,,oui
HD 209026,329.95666666666665,23.94086111111111,7.07,M5,1.32,,,,oui
HD 209111,328.61041666666665,80.3085611111111,6.52,M3,1.45,,,,oui
HD 209149,330.11125,33.005919444444444,6.47,F5III,0.42,,,,oui
HD 209166,330.2720833333333,13.119830555555556,5.6,F4III,0.34,,,,oui
HD 209218,330.0195833333333,55.01975,7.86,A0II,0.5,,,,oui
HD 209339,330.16374999999994,62.4878,8.51,O9.7IV,0.22,,,,oui
HD 209419,330.46083333333326,52.88225,5.78,B5III,-0.12,,,,oui
HD 209459,330.829300625,11.3865490277778,5.824,"B9,5V",-0.05,0.02,,"B9,5",
HD 209481,330.519053625,58.0003637777778,5.54,O9IV(n)var+B1:V:,0.01,0.06,,O9,oui
HD 209515,330.73625,44.64986111111111,5.6,A0IV,-0.03,,,,oui
HD 20965,50.56833333333333,-21.10013888888889,6.72,K2II,1.23,,,,oui
HD 209709,331.2645833333333,14.815919444444445,6.42,M0,1.53,,,,oui
HD 209750,331.44587499999994,-0.3198611111111111,2.94,G2Ib,0.96,,,,oui
HD 209772,330.9708333333333,63.11991944444444,5.3,M5III,1.47,,,,oui
HD 209819,331.609280916667,-13.86968375,4.27,B8V,-0.07,0.05,,B8,oui
HD 209833,331.39447575,28.9639775833333,5.7,B9Vn,-0.06,0.01,,B9,
HD 209905,331.6620833333333,2.4394694444444447,6.51,B9IV,-0.08,,,,oui
HD 20995 ,51.1237564583333,33.5359616388889,5.79,A0V,-0.02,-0.01,,A0,
HD 209952,332.058269708333,-46.9609743888889,1.74,B6V,-0.13,0.01,,B6,
HD 209975,331.2866666666666,62.2798,5.11,O9Ib,0.08,,,,oui
HD 210027,331.75291666666664,25.34511111111111,3.77,F5V,0.43,,,,oui
HD 210090,331.87499999999994,18.000719444444446,6.35,M1,1.61,,,,oui
HD 210129,331.959599875,21.7029255277778,5.783,B7Vne,-0.076,0.05,,B7,
HD 21019,50.82374999999999,-7.794111111111111,6.23,G5/6V,0.69,,,,oui
HD 210191,332.2457916666666,-18.519588888888887,5.79,B2III,-0.16,,,,oui
HD 210210,332.07166666666666,25.543530555555556,6.07,F1IV,0.29,,,,oui
HD 210271,332.482088291667,-34.0149653333333,5.377,A5V,0.215,0.07,,A5,
HD 210418,332.55,6.197861111111111,3.55,A1Va,0.07,,,,oui
HD 210424,332.65625,-11.56493888888889,5.42,B5III,-0.12,,,,oui
HD 210459,332.4966666666666,33.178219444444444,4.29,F5III,0.46,,,,oui
HD 210532,331.8379166666667,74.73305,7.3,M4,1.9,,,,oui
HD 210594,332.7154166666666,30.553,6.32,A8IV,0.18,,,,oui
HD 210715,332.791203875,50.8234051111111,5.386,A5V,0.142,-0.01,,A5,
HD 210745,332.71375,58.20125,3.35,K1.5Ib,1.55,,,,oui
HD 210762,333.03374999999994,24.95063888888889,5.92,K0,1.51,,,,oui
HD 210809,332.91083333333324,52.429969444444446,7.56,O9Iab,0.05,,,,oui
HD 210819,332.98958333333326,50.196188888888884,7.3,F0II+,0.0,,,,oui
HD 210839,332.8775,59.4145,5.05,O6.5I(n)fp,0.24,,,,oui
HD 21085,51.51875,49.745580555555556,7.12,A3II,0.37,,,,oui
HD 211073,333.4695833333333,39.71491944444445,4.49,K2.5III,1.39,,,,oui
HD 211096,333.4549999999999,45.44061111111111,5.53,A0III,0.0,,,,oui
HD 211152,333.69999999999993,24.31495,6.99,F7III,0.47,,,,oui
HD 211211,333.684877833333,42.9539095,5.72,A2Vnn,0.0,-0.05,,A2,
HD 211300,333.21999999999997,73.3072,6.08,G8III,1.0,,,,oui
HD 211336,333.75916666666666,57.04358055555555,4.19,F0V(Sr),90.0,,,,oui
HD 211606,334.4470833333333,26.936530555555557,6.61,K5II,1.62,,,,oui
HD 211822,334.65708333333333,52.65603055555555,7.29,G2III,1.15,,,,oui
HD 212043,335.02624999999995,56.91803055555555,6.55,B6II,-0.08,,,,oui
HD 212061,335.41406425,-1.38733419444444,3.83,A0V,-0.04,-0.02,,A0,oui
HD 212097,335.33045833333335,28.330530555555555,4.81,B9III,0.0,,,,oui
HD 212120,335.256446958333,46.5365683611111,4.54,B6V,-0.11,0.04,,B6,oui
HD 212404,336.028684708333,-4.83701922222222,5.781,A0V,-0.027,-0.02,,A0,
HD 212500,336.10374999999993,16.26293888888889,6.94,F4III,0.41,,,,oui
HD 212571,336.319261875,1.3773985,4.794,B1Ve,-0.168,0.09,,B1,
HD 212581,336.833197708333,-64.9663548611111,4.495,"B9,5V",-0.013,0.06,,"B9,5",
HD 212698,336.6427916666666,-16.74213888888889,6.22,G2V,0.61,,,,oui
HD 212710,333.294223333333,86.1079546111111,5.264,"B9,5Vn",-0.024,0.05,,"B9,5",
HD 212728,337.15696125,-67.4890597222222,5.57,A4V,0.19,0.07,,A4,
HD 21278 ,52.0127927916667,49.0628662777778,4.97,B5V,-0.08,0.08,,B5,oui
HD 21279,51.982499999999995,47.73593888888889,7.25,B8.5V,0.04,,,,oui
HD 212988,336.94291666666663,31.84006111111111,5.99,K2,1.45,,,,oui
HD 213050,336.9316666666666,51.49283055555556,7.34,A0II,0.12,,,,oui
HD 213052,337.2079166666666,-0.019969444444444442,4.34,F2IV/V,0.45,,,,oui
HD 213179,337.2925,26.763188888888887,5.78,K2II,1.25,,,,oui
HD 213235A,337.47499999999997,4.433330555555556,5.7,F8(V),0.39,,,,oui
HD 213307,337.2883333333333,58.404111111111106,6.3,B7IV,-0.02,,,,oui
HD 213307,337.49225,58.4041111111111,6.3,A0,,0.1,s0834,A0,
HD 213323,337.507561625,32.5726398333333,5.628,"B9,5V",-0.031,0.04,,"B9,5",
HD 213398,337.876376583333,-32.3460736944444,4.289,A0V,0.02,0.03,,A0,
HD 213420,337.6220833333333,43.12338888888889,4.51,B2IV,-0.11,,,,oui
HD 213464,337.9221666666666,-10.905561111111112,6.38,A9/F0V,0.29,,,,oui
HD 213470,337.744291666667,57.2253888888889,6.696,A3 Ia,,0.02,s0836,A3,
HD 213558,337.822922125,50.2824911666667,3.77,A1V,0.01,0.01,,A1,oui
HD 21362 ,52.2180288333333,49.8483816111111,5.578,B6Vn,-0.055,0.08,,B6,
HD 21364 ,51.792294625,9.73267619444444,3.727,B9Vn,-0.064,0.01,,B9,
HD 213660,338.109906333333,39.7797312777778,5.88,A6V,0.15,-0.02,,A6,oui
HD 213798,337.470746583333,78.8242856111111,5.46,A3V,0.08,0.0,,A3,
HD 213973,338.2620833333333,69.91356111111112,6.0,A9III,90.0,,,,oui
HD 21402 ,52.0862501666667,33.8075575,5.73,A2V,0.04,-0.01,,A2,
HD 214035,338.06761175,76.2264404722222,5.7,A2V,0.01,-0.04,,A2,
HD 214080,339.242091666667,-16.388,6.818,B1/B2Ib,,0.05,s0837,B1,
HD 214150,339.245225208333,-40.5910353333333,5.878,A1V,0.056,0.04,,A1,
HD 214167,338.96785175,39.6343286111111,5.73,B2Ve,-0.15,0.09,,B2,
HD 214203,339.15125,11.69663888888889,6.42,A1III,0.02,,,,oui
HD 21428 ,52.3418757916667,49.5089476111111,4.74,B3V,-0.12,0.1,,B3,oui
HD 214454,339.3433333333333,51.54511111111111,4.63,A9VkA7mA6,0.24,,,,oui
HD 21447 ,52.5007625833333,55.4518099444445,5.09,A1V,0.05,0.03,,A1,
HD 214484,339.71444375,-33.0813483888889,5.668,A2Vp,0.036,-0.01,,A2,
HD 214567,339.71916666666664,19.52225,5.82,G8II,0.93,,,,oui
HD 214665,339.6579166666666,56.79563888888889,5.17,M4+III,1.52,,,,oui
HD 21467,52.11083333333333,22.804000000000002,6.03,G9IV,0.96,,,,oui
HD 214680,339.815327666667,39.0502697777778,4.88,O9V,-0.21,-0.17,,O9,oui
HD 214734,339.6629166666666,63.584469444444444,5.19,A0IV,0.07,,,,oui
HD 214748,340.163919791667,-27.0436154722222,4.18,B8Ve,-0.094,0.02,,B8,
HD 214749,340.18074999999993,-29.674480555555558,7.84,K4.5Vk,1.16,,,,oui
HD 214850A,340.22499999999997,14.55,6.05,G4V,0.81,,,,oui
HD 214923,340.365503,10.8313633055556,3.41,B8V,-0.08,0.02,,B8,oui
HD 214966,340.5920416666666,-29.361050000000002,6.17,M3III,1.5,,,,oui
HD 214983,340.5249999999999,-5.101969444444444,6.53,M4III,1.47,,,,oui
HD 214993,340.3695833333333,40.22545,5.23,B2III,-0.15,,,,oui
HD 214994,340.4391666666666,29.30763888888889,4.79,A1IV,-0.01,,,,oui
HD 214994,340.49325,29.3076111111111,4.797,A1IV,,0.02,s0841,A1,
HD 215182,340.7504166666666,30.221249999999998,2.95,G8II+F0V,0.86,,,,oui
HD 215371,340.76833333333326,65.33624999999999,6.75,B1.5V,-0.04,,,,oui
HD 21551 ,52.6539671666667,48.1035970833333,5.817,B8V,-0.04,0.07,,B8,
HD 21552,52.64375,47.995219444444444,4.36,K3-III,1.35,,,,oui
HD 215648,341.6733333333333,12.172888888888888,4.2,F6V,0.49,,,,oui
HD 215665,341.6329583333333,23.565669444444445,3.93,G8IIIaCN0.5,1.07,,,,oui
HD 215733,341.7604166666667,17.23306111111111,7.34,B1II,-0.13,,,,oui
HD 215766,341.9282055,-14.0564280277778,5.678,B9V,-0.017,0.05,,B9,
HD 215907,341.84666666666664,58.48303055555556,6.36,B9.5IV,-0.04,,,,oui
HD 216032,342.39795833333324,-13.592638888888889,3.98,M0III,1.59,,,,oui
HD 216131,342.5008749999999,24.601580555555557,3.48,G8+III,0.94,,,,oui
HD 216228,342.41999999999996,66.20041944444445,3.54,K0-III,1.06,,,,oui
HD 216385,343.10041666666666,9.835669444444445,5.2,F6V,90.0,,,,oui
HD 216386,343.15374999999995,-7.579611111111111,3.79,M2.5IIIFe-0.5,1.65,,,,oui
HD 21641,52.887916666666655,47.862411111111115,6.76,B8.5V,-0.03,,,,oui
HD 216608,343.417316708333,44.7491658055556,5.808,"A3Vm+,,,",0.267,0.19,,A3,
HD 216627,343.662556291667,-15.8208272777778,3.28,A3Vp,0.05,-0.01,,A3,oui
HD 21665,52.41291666666666,-6.804438888888889,5.99,K0III,1.02,,,,oui
HD 216701,343.74795833333326,1.0649194444444445,6.11,A3IV,0.2,,,,oui
HD 216735,343.806966541667,8.81616477777778,4.906,A1V,0.002,-0.02,,A1,
HD 216756,343.7608333333333,37.07683055555556,5.9,F4V,0.39,,,,oui
HD 216831,343.93541666666664,36.35138888888889,5.72,B7III,-0.06,,,,oui
HD 21684,52.87624999999999,40.75995,6.49,A5,0.23,,,,oui
HD 21686 ,52.6019465,11.336441,5.125,A0Vn,-0.028,-0.02,,A0,
HD 2169,6.780833333333332,80.05213888888889,6.54,B9,-0.1,,,,oui
HD 216916,344.242116666667,41.6038888888889,5.584,B2IV,,0.1,s0853,B2,
HD 216956,344.412692708333,-29.6222370277778,1.16,A4V,0.09,-0.03,,A4,oui
HD 217014,344.3666666666666,20.768830555555553,5.46,G2IV,0.7,,,,oui
HD 217035,344.12874999999997,62.868611111111115,8.5,B0.5Vn+B0.5V,90.0,,,,oui
HD 217086,344.19666666666666,62.727111111111114,7.66,O7Vnn((f))z,0.64,,,,oui
HD 217107,344.56458333333325,-2.395388888888889,6.16,G8IV/V,0.76,,,,oui
HD 217157,342.76262499999996,85.37373888888888,5.89,K5,1.34,,,,oui
HD 217232,344.799224625,11.7288430833333,5.75,"A8V+,,,",0.32,0.05,,A8,
HD 217312,344.66583333333324,63.07713888888889,7.4,B5,0.34,,,,oui
HD 217428,345.1579583333333,0.1858611111111111,6.22,G8/K0III,0.88,,,,oui
HD 217563,345.38208333333324,-4.711469444444445,5.93,G5II/III,0.99,,,,oui
HD 217580,345.4645833333333,-3.848719444444445,7.46,K3V,0.96,,,,oui
HD 217600,345.38624999999996,32.613,7.64,M6,1.26,,,,oui
HD 217673,345.37791666666664,57.105450000000005,6.21,K1.5II,1.48,,,,oui
HD 21769,53.38416666666666,58.76525,6.41,A4III,0.14,,,,oui
HD 21770,53.109583333333326,46.05686111111111,5.32,F4III,0.41,,,,oui
HD 217782,345.651590666667,42.7577952222222,5.093,A3Vn,0.087,0.01,,A3,
HD 217891,345.969222875,3.82004616666667,4.486,B6Ve,-0.11,0.03,,B6,
HD 21790 ,52.6544092916667,-5.07514552777778,4.727,B9Vs,-0.085,-0.02,,B9,
HD 217906,345.94374999999997,28.082780555555555,2.42,M2.5II-III,1.67,,,,oui
HD 218043,346.15166666666664,31.307469444444447,6.76,F4II,0.39,,,,oui
HD 218045,346.1904583333333,15.205280555555555,2.48,B9III,-0.04,,,,oui
HD 21819 ,53.4127495416667,54.9748593333333,5.981,A3V,0.107,0.03,,A3,
HD 218242,346.723439666667,-38.8922912222222,5.624,A1V,0.006,-0.01,,A1,
HD 218323,346.4862499999999,64.29516944444444,7.6,B5,0.51,,,,oui
HD 218329,346.75124999999997,9.4095,4.52,M1IIIab,1.56,,,,oui
HD 218376,346.6533333333333,59.41975,4.84,B0.5III,-0.07,,,,oui
HD 218396,346.869646125,21.1342514722222,5.953,A5V,0.254,0.1,,A5,
HD 218454,346.9491666666666,30.439611111111113,7.18,K4II,1.48,,,,oui
HD 21856 ,53.1667325416667,35.4617288333333,5.899,B1V,-0.083,0.18,,B1,
HD 218594,347.3616666666666,-21.172419444444447,3.64,K1.5III,1.23,,,,oui
HD 218640,347.47875,-22.45761111111111,4.8,G2III+A2V,0.7,,,,oui
HD 218640,347.494416666667,-22.4576111111111,4.726,A3IV:,,0.02,s0861,A3,
HD 218700,347.50624999999997,9.822080555555555,5.39,B9III,-0.08,,,,oui
HD 218723,347.3183749999999,65.21141944444445,6.67,B5,-0.06,,,,oui
HD 218753,347.43375,59.3327,5.68,A4II,0.3,,,,oui
HD 21882 ,52.4797810416667,-42.6342564166667,5.768,A5V,0.187,0.04,,A5,
HD 218915,347.77874999999995,53.05821944444444,7.2,O9.2Iab,0.02,,,,oui
HD 218918,347.934125875,8.72011019444444,5.157,A5Vn,0.121,-0.03,,A5,
HD 219080,348.13749999999993,49.406188888888884,4.52,F1V,0.29,,,,oui
HD 219081,348.27083333333326,8.963438888888888,6.73,M4,1.59,,,,oui
HD 21912 ,53.395973,39.8994793333333,5.796,A3V,0.13,0.05,,A3,
HD 219134,348.32087499999994,57.16836111111111,5.57,K3V,0.99,,,,oui
HD 219188,348.5020833333333,4.997111111111111,7.06,K0III,-0.16,,,,oui
HD 219215,348.5808333333333,-6.0489999999999995,4.22,M1.5III,1.55,,,,oui
HD 21933,53.149583333333325,9.37343888888889,5.76,B9III,-0.07,,,,oui
HD 219402,348.892738791667,-3.49637722222222,5.55,A3V,0.06,-0.02,,A3,
HD 219485,348.654609,74.2312706388889,5.89,A0V,-0.02,-0.01,,A0,
HD 219688,349.4758905,-9.18251875,4.4,B7/8V,-0.14,0.0,,B5,oui
HD 219734,349.43583333333333,49.0153,4.86,M2.5IIIBa0.5,1.67,,,,oui
HD 21981 ,52.6539737916667,-47.3751258888889,5.98,A1V,0.113,0.09,,A1,
HD 219832,349.740319083333,-9.6107515,5.001,A0V,-0.018,-0.01,,A0,
HD 219877,349.84666666666664,-5.121669444444444,5.6,F4VFe-0.4,90.0,,,,oui
HD 220061,350.159341166667,23.7403360555556,4.58,A5Vp_lB,0.17,0.01,,A5,oui
HD 220078,350.1883333333333,15.048030555555556,7.64,A5II,0.15,,,,oui
HD 220091,350.2399999999999,17.25261111111111,6.67,F0IV,0.31,,,,oui
HD 220096,350.3145833333333,-26.986769444444445,5.66,G5IV,0.81,,,,oui
HD 220102,350.0866666666666,60.27475,6.63,F2II,0.57,,,,oui
HD 220180,350.2808333333333,62.011919444444445,7.95,G7II,1.12,,,,oui
HD 220222,350.47879166666667,31.812469444444446,5.35,B6III,-0.11,,,,oui
HD 220278,350.663213041667,-15.0393401388889,5.22,A3V,0.21,0.13,,A3,
HD 220321,350.74249999999995,-20.100580555555556,3.98,K1III,1.1,,,,oui
HD 220524,351.03708333333327,41.612861111111116,6.41,M0,1.66,,,,oui
HD 220652,351.2095833333333,62.28281111111111,4.96,M1III,1.64,,,,oui
HD 220657,351.34499999999997,23.40411111111111,4.4,F8III,0.61,,,,oui
HD 220704,351.5116666666666,-20.642030555555554,4.39,K4.5III,1.47,,,,oui
HD 220819,351.5870833333333,61.08686111111111,6.6,A5II-,0.32,,,,oui
HD 220825,351.74275,1.25561111111111,4.927,A0p...,,0.01,s0877,A0,
HD 22091 ,53.610946,24.4643970555556,5.986,"A3V+,,,",0.112,0.03,,A3,
HD 220933,351.992666666667,25.1673055555556,5.986,A0mnp...,,0.04,s0878,A0,
HD 220954,351.9920833333333,6.379,4.3,K0.5III,1.08,,,,oui
HD 220974,351.8191666666666,70.35978055555555,5.6,A6IV,0.16,,,,oui
HD 221115,352.28875,12.76056111111111,4.56,G8IIIa,0.94,,,,oui
HD 22135,54.10916666666667,52.931419444444444,7.24,K5III,1.84,,,,oui
HD 221427,353.05291666666665,-11.544561111111111,6.65,K5/M1,1.61,,,,oui
HD 221525,351.75374999999997,87.30749999999999,5.56,A7IV,0.23,,,,oui
HD 221565,353.3192625,-20.9145043055556,4.709,A0V,0.019,0.03,,A0,
HD 221615,353.3670833333333,22.498780555555555,5.42,M5III,1.48,,,,oui
HD 221627,353.395,17.818830555555554,6.8,G1IV,90.0,,,,oui
HD 221639,353.33624999999995,60.41095,7.19,K1V,0.92,,,,oui
HD 221661,353.4291666666667,45.05811111111111,6.25,G8II,1.01,,,,oui
HD 221671,353.4004166666667,60.050688888888885,7.61,A0II,0.08,,,,oui
HD 221756,353.65625,40.23643888888889,5.56,A1Va,0.09,,,,oui
HD 221756,353.743208333333,40.2363888888889,5.564,A1III,,0.02,s0885,A1,
HD 221760,353.769017375,-42.61507525,4.711,"A2Vp,,,",0.085,0.04,,A2,
HD 221839,353.91687499999995,-27.49048888888889,6.7,F7V+G3V,0.51,,,,oui
HD 22192 ,54.1224159166667,48.1926330277778,4.31,B5Ve,-0.055,0.11,,B5,
HD 22203 ,53.446983875,-21.6328841666667,4.3,B9V,-0.14,-0.07,,B9,
HD 222095,354.46247575,-45.492352,4.736,A2V,0.085,0.04,,A2,
HD 222107,354.3908333333333,46.45813888888889,3.82,G8IVk,1.02,,,,oui
HD 222109,354.383511666667,44.4289923055556,5.817,B8V,-0.064,0.05,,B8,
HD 222133,354.486678541667,18.4006665555556,5.482,A1Vn,0.009,-0.01,,A1,
HD 222173,354.534172083333,43.2680735833333,4.29,B8V,-0.11,0.0,,B8,oui
HD 222275,354.7045833333333,62.134969444444444,6.61,A3II,0.52,,,,oui
HD 222304,354.784717041667,50.4717327222222,5.35,B9Ve,-0.11,-0.04,,B9,
HD 222345,354.94624999999996,-14.222169444444445,4.98,A7IV,0.24,,,,oui
HD 222368,354.98749999999995,5.626280555555556,4.12,F7V,0.5,,,,oui
HD 222386,354.792395416667,75.2928796666667,5.959,A3V,0.104,0.02,,A3,
HD 222404,354.8366666666666,77.63228055555555,3.3,K1III-IVCN1,90.0,,,,oui
HD 222439,355.102115125,44.3339323888889,4.137,A0V,-0.061,-0.05,,A0,
HD 222451,355.1691666666666,36.72078055555556,6.2,F1V,90.0,,,,oui
HD 22252 ,52.7154473333333,-66.4897147777778,5.806,B8V,-0.055,0.06,,B8,
HD 22253,54.43374999999999,56.73938888888889,6.53,B0.5III,0.23,,,,oui
HD 222568,355.2962916666666,68.35988888888889,7.71,B1IV,0.32,,,,oui
HD 222602,355.486208375,7.25054608333333,5.902,A3Vn,0.092,0.01,,A3,
HD 222603,355.511692166667,1.78004122222222,4.51,A7V,0.21,0.0,,A7,oui
HD 222661,355.680603041667,-14.5449034166667,4.48,B9V,-0.04,0.04,,B9,oui
HD 222762,355.77374999999995,53.152611111111106,6.63,B8,-0.03,,,,oui
HD 222847,356.050328875,-18.2769357777778,5.235,B9V,-0.076,-0.01,,B9,
HD 222950,356.34166666666664,-13.681999999999999,7.9,F0/2III,0.36,,,,oui
HD 223145,356.816649125,-50.2264605,5.161,B3V,-0.161,0.04,,B3,
HD 223274,356.978214916667,67.8068075555556,5.048,A1Vn,0.006,-0.01,,A1,
HD 223332,357.1458333333333,28.371030555555556,7.03,K5II,1.62,,,,oui
HD 223352,357.231444083333,-28.1302706944444,4.577,A0V,0.009,0.02,,A0,
HD 223385,357.244333333333,62.2145,5.55,A3Ia+...,,0.63,s0892,A3,
HD 223385A,357.20874999999995,62.21443888888889,5.59,A3Ia+,0.61,,,,oui
HD 223385B,357.20874999999995,62.214169444444444,7.9,O9.8II,0.4,,,,oui
HD 223524,357.56125,-9.97413888888889,5.94,K1III,1.13,,,,oui
HD 223586,357.6941666666666,-18.292419444444445,7.07,G8/K0,1.15,,,,oui
HD 223778,358.10541666666666,75.54458888888888,6.4,K3V,90.0,,,,oui
HD 223781,358.154605875,10.9473227777778,5.3,A4Vn,0.17,0.05,,A4,
HD 224062,358.6941666666666,0.10931111111111112,5.61,M5III,1.59,,,,oui
HD 224116,358.8125,58.089080555555554,7.38,K2IV,1.12,,,,oui
HD 224186,358.9779166666666,15.230280555555556,6.52,M3,1.48,,,,oui
HD 224342,359.265,42.65821944444444,6.02,F8III,0.69,,,,oui
HD 224392,359.396159125,-64.2982303611111,5.002,A1V,0.056,0.04,,A1,
HD 224427,359.4395833333333,25.141388888888887,4.66,M3III,1.59,,,,oui
HD 224533,359.6683333333333,-3.555969444444444,4.89,G8III,0.93,,,,oui
HD 224572,359.752242458333,55.7549286111111,5.0,B1V,90.0,0.15,,B1,oui
HD 224617,359.8279166666666,6.863330555555555,4.0,F4V,90.0,,,,oui
HD 224635,359.8720833333333,33.723888888888894,6.4,F8,0.51,,,,oui
HD 22468,54.1975,0.5879194444444444,5.9,K2:Vnk,90.0,,,,oui
HD 22489,54.938333333333325,56.38303055555556,6.51,A2,0.08,,,,oui
HD 224893,0.4041666666666666,61.22281111111111,5.57,A8II,0.4,,,,oui
HD 224935,0.4899999999999999,-6.014080555555555,4.41,M3III,1.63,,,,oui
HD 224990,0.583,-29.72041111111111,5.02,B3/5V,-0.14,,,,oui
HD 224995,0.6008333333333332,8.956830555555555,6.33,A6V,0.17,,,,oui
HD 225003,0.6237499999999999,8.485469444444444,5.69,F1V,0.31,,,,oui
HD 225180,1.0570833333333334,62.28766944444444,5.88,A1II-III,0.27,,,,oui
HD 225239,1.2241666666666664,34.6598,6.11,G3,0.63,,,,oui
HD 225292,1.255,27.674780555555557,6.46,G8II,0.96,,,,oui
HD 225806,296.86833333333334,34.30458888888889,7.86,K7,1.56,,,,oui
HD 22649,55.53875,63.21681111111111,5.11,S3.5/2,1.63,,,,oui
HD 22713,54.75458333333332,-5.626219444444445,5.96,K0IV,0.92,,,,oui
HD 22780 ,55.2827394583333,37.5801974166667,5.541,B7Vne,-0.062,0.07,,B7,
HD 22798,54.90958333333332,-3.393,6.22,K0III,1.04,,,,oui
HD 22799,54.85583333333333,-10.437280555555557,6.18,G8/K0III,1.03,,,,oui
HD 22819,54.99833333333333,-1.1212194444444445,6.12,K0III,0.99,,,,oui
HD 22951 ,55.5943564583333,33.9650248055556,4.97,B0.5V,-0.06,0.25,,"B0,5",oui
HD 23016 ,55.57894625,19.7002557222222,5.681,B9Vne,-0.017,0.05,,B9,
HD 2302,6.769166666666666,25.042061111111114,6.65,F7IV,0.48,,,,oui
HD 23067,55.3925,-14.299280555555555,7.29,G8/K0IV,1.05,,,,oui
HD 23139,56.17041666666666,46.0998,6.09,A7IV,0.27,,,,oui
HD 23180,56.07958333333333,32.28825,3.83,B1III,0.05,,,,oui
HD 23257,56.1875,27.921080555555555,6.9,G2IV,90.0,,,,oui
HD 23288,56.20083333333332,24.289469444444446,5.46,B7IV,-0.04,,,,oui
HD 23300 ,56.4969166666667,45.6818965833333,5.66,B6V,-0.09,0.06,,B6,oui
HD 23324 ,56.290583,24.8392602222222,5.651,B8V,-0.066,0.04,,B8,
HD 23338,56.30208333333333,24.467280555555554,4.3,B6IV,-0.11,,,,oui
HD 23356,55.980416666666656,-19.11088888888889,7.08,K2V,0.93,,,,oui
HD 23363 ,56.1271250833333,-1.16309547222222,5.25,B7IV,-0.1,0.03,,B7,oui
HD 23408,56.45666666666666,24.36775,3.87,B8III,-0.07,,,,oui
HD 23432 ,56.4769870416667,24.5545122777778,5.761,B8V,-0.034,0.08,,B8,
HD 2344,6.834583333333333,2.814111111111111,7.18,G8III,0.91,,,,oui
HD 23466 ,56.4185149166667,6.04999308333333,5.332,B3V,-0.098,0.1,,B3,
HD 23475,57.380416666666655,65.52596944444444,4.48,M2II,1.88,,,,oui
HD 235110,302.22749999999996,52.91361111111111,7.99,K7,1.6,,,,oui
HD 23523 ,57.40248925,63.2969645,5.832,A5Vn,0.174,0.02,,A5,
HD 2358,6.879583333333333,16.025469444444443,6.43,A5,0.24,,,,oui
HD 235954,341.6766666666666,53.63941944444444,7.78,K7,1.58,,,,oui
HD 23614,56.535416666666656,-12.101580555555556,4.42,M1III,1.62,,,,oui
HD 23626,56.95416666666666,32.195411111111106,6.25,G0,0.47,,,,oui
HD 23630,56.871249999999996,24.10513888888889,2.87,B7III,-0.09,,,,oui
HD 23675,57.36499999999999,52.655388888888886,6.82,B0.5III,0.3,,,,oui
HD 23728,57.28374999999999,43.96308055555556,5.97,A9IV,0.26,,,,oui
HD 23738 ,56.614284875,-29.3381561111111,5.917,A3V,0.111,0.03,,A3,
HD 23753 ,57.08673225,23.4212504444444,5.441,B8V,-0.063,0.05,,B8,
HD 23793 ,57.067781375,11.1432965833333,5.06,"B3V+,,,",-0.14,0.06,,B3,
HD 23800,57.60458333333333,52.48188888888889,6.98,B1IV,0.22,,,,oui
HD 23825,57.09124999999999,10.793061111111111,7.92,G3IV,0.77,,,,oui
HD 23848 ,57.3862063333333,33.0913778611111,5.144,A3V,0.054,-0.03,,A3,
HD 23850,57.29041666666665,24.053419444444444,3.63,B8III,-0.09,,,,oui
HD 23878 ,56.91521075,-23.8746764444444,5.243,A1V,0.07,0.05,,A1,
HD 23985 ,57.57892175,25.5793744166667,5.237,"A2V+,,,",0.21,0.16,,A2,
HD 24071 ,57.1474166666667,-37.6221111111111,5.42,A1V,0.0,-0.02,,A1,
HD 24072 ,57.1483333333333,-37.6216277777778,4.86,B9V,-0.01,0.06,,B9,
